Name,Date,Hour,StolenObject,PlaceDescription,Neighborhood,GeneralDescription,ModusOperandi
Jeffrey Long,03/18/2022,00:38:32,Papeles,En el centro de la ciudad,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jessica Peterson,03/23/2022,23:57:09,Vehiculo,En el centro de la ciudad,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
David Mitchell,03/31/2022,14:33:36,Papeles,En el centro de la ciudad,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kelly Mack,06/13/2022,17:19:27,Computador,Cerca a la universidad nacional de Colombia,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Joshua Kirk,04/05/2022,18:22:40,Computador,En el centro de la ciudad,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Martin Torres,08/04/2022,10:17:54,Papeles,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Travis Dillon,03/19/2022,02:49:44,Papeles,Cerca a la universidad nacional de Colombia,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Bruce Woods,03/12/2022,09:10:39,Computador,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Matthew Morrison,05/20/2022,22:06:44,Vehiculo,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
April Cardenas,02/08/2022,17:24:06,Bicicleta,En el centro de la ciudad,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kathleen Arias,06/05/2022,02:44:20,Bicicleta,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
William Alvarado,01/03/2022,16:43:40,Papeles,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Amy Tyler,02/10/2022,07:31:05,Celular,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Amy Haney,03/27/2022,17:11:34,Vehiculo,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Mark Anderson,05/16/2022,01:41:34,Bolso,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Michael Sanders,07/06/2022,11:18:27,Papeles,En el centro de la ciudad,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Timothy Olsen,04/03/2022,17:54:38,Bolso,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Alejandro Carter,05/27/2022,23:56:55,Bolso,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Haley Gonzalez,02/22/2022,07:56:57,Computador,Cerca a la universidad nacional de Colombia,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Laura Lopez,08/01/2022,19:12:10,Vehiculo,En el centro de la ciudad,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Sandra Graves,06/07/2022,20:35:45,Bicicleta,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
James Smith DDS,01/29/2022,02:14:32,Papeles,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Michelle Martin,03/23/2022,05:32:15,Celular,Cerca a la universidad nacional de Colombia,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Melissa Williams,06/19/2022,20:01:36,Billetera,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Joseph Brown DDS,07/12/2022,05:18:04,Billetera,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Craig Ali,08/01/2022,01:36:57,Billetera,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Bethany Bush,05/21/2022,16:31:47,Celular,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Sandra Jackson,04/09/2022,00:51:23,Vehiculo,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Bradley Johnson,04/26/2022,03:46:59,Celular,Cerca a la universidad nacional de Colombia,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
James Haynes,06/29/2022,09:03:10,Papeles,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Megan Cook,01/28/2022,07:58:58,Bolso,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Thomas Brown MD,07/31/2022,09:15:22,Papeles,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Victoria Morales,06/18/2022,17:11:24,Vehiculo,Cerca a la universidad nacional de Colombia,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Robert Molina,02/28/2022,17:35:58,Bicicleta,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kimberly Camacho,03/31/2022,09:42:01,Billetera,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Deborah Johnson,05/26/2022,01:32:06,Billetera,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
David Bryant,03/29/2022,13:56:49,Billetera,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Carolyn Gamble,02/18/2022,03:55:20,Bolso,En el centro de la ciudad,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Paula Reeves,06/15/2022,06:39:59,Billetera,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Paul Hopkins,07/17/2022,00:35:18,Papeles,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Jesus Browning,01/25/2022,18:57:20,Computador,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Tonya Smith,04/08/2022,15:37:01,Bicicleta,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Megan Moreno,03/30/2022,08:13:14,Billetera,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Justin Taylor,01/07/2022,01:47:15,Bolso,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Timothy Gallagher,06/22/2022,15:14:01,Vehiculo,Cerca a la universidad nacional de Colombia,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Brandon Patterson,01/05/2022,23:20:44,Celular,En el centro de la ciudad,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Garrett Moran,02/14/2022,13:02:27,Vehiculo,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kimberly Evans,07/03/2022,06:29:48,Vehiculo,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Taylor Benson,01/22/2022,06:25:08,Bolso,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Alyssa Adams,01/22/2022,23:27:55,Computador,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Andrew Moore,08/04/2022,03:00:18,Bolso,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Wayne Hall,05/11/2022,07:26:28,Computador,Cerca a la universidad nacional de Colombia,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Christian Clark,03/10/2022,20:47:02,Celular,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Kathleen Martinez,04/30/2022,10:22:35,Papeles,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Samantha Brown,06/06/2022,12:11:25,Bicicleta,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kaitlyn Morris,07/18/2022,02:45:42,Papeles,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Rodney Walton,04/27/2022,10:23:36,Bolso,Cerca a la universidad nacional de Colombia,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Kristin Cook,07/12/2022,12:59:49,Vehiculo,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Heather Lopez,03/24/2022,07:50:33,Celular,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Tanya Castro,06/12/2022,10:38:17,Papeles,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Rebecca Prince,05/08/2022,19:27:19,Computador,En el centro de la ciudad,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Thomas Newman,01/21/2022,19:56:45,Computador,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kimberly Lin,07/06/2022,06:25:10,Celular,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Brian Combs,03/27/2022,04:32:01,Bolso,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Rodney Smith,01/25/2022,23:22:33,Bolso,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Martin Adams,05/23/2022,00:25:02,Celular,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Tammy Collins,03/21/2022,10:29:00,Celular,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Dana Howard,06/21/2022,07:02:49,Bicicleta,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Richard Fox,01/26/2022,09:49:22,Computador,Cerca a la universidad nacional de Colombia,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Daniel Conner,03/30/2022,17:51:23,Bolso,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Abigail Wells,06/29/2022,13:16:29,Billetera,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Cindy Banks,06/23/2022,17:35:34,Computador,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Rebecca Cooper MD,01/15/2022,13:23:28,Vehiculo,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Scott Carter III,04/20/2022,14:24:24,Computador,Cerca a la universidad nacional de Colombia,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Antonio Patterson,01/28/2022,03:32:57,Celular,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Laura Collins,01/30/2022,10:21:53,Billetera,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Craig Santos,05/20/2022,08:43:55,Computador,Cerca a la universidad nacional de Colombia,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Monica Hurst,05/11/2022,15:52:40,Papeles,Cerca a la universidad nacional de Colombia,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Shari Simon,05/05/2022,16:41:35,Computador,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Morgan Soto,07/15/2022,04:38:43,Bicicleta,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Oscar Klein,05/27/2022,11:29:47,Billetera,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Meghan Williams,01/29/2022,12:09:28,Computador,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jennifer May,01/20/2022,03:00:31,Celular,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Larry Hernandez,06/07/2022,12:40:55,Bicicleta,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Megan Kennedy,06/30/2022,20:16:23,Computador,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Stephanie English,07/02/2022,00:54:40,Bolso,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Stacy Garner,05/03/2022,00:11:04,Billetera,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kyle King,01/23/2022,16:57:41,Celular,En el centro de la ciudad,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Heather Smith,04/12/2022,23:31:19,Vehiculo,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Donald Wood,04/27/2022,01:23:21,Bolso,Cerca a la universidad nacional de Colombia,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Justin Key,07/07/2022,10:56:41,Bolso,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Nichole Johnson,07/03/2022,23:48:00,Papeles,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Wesley Bond,02/04/2022,11:35:45,Billetera,Cerca a la universidad nacional de Colombia,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Dana Krueger,03/26/2022,05:22:01,Billetera,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Johnathan Jackson,04/22/2022,17:04:54,Bolso,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
John Grant,01/04/2022,19:13:06,Computador,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jerry Myers,01/03/2022,23:16:57,Celular,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Andrew Combs,01/24/2022,19:22:24,Papeles,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Debra Norman,05/06/2022,23:55:17,Billetera,En el centro de la ciudad,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Mary Porter,03/11/2022,19:33:02,Computador,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Mr. Michael Rodriguez,08/04/2022,10:25:33,Bolso,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Benjamin Smith,04/16/2022,20:41:41,Computador,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Jeremy Scott,02/01/2022,22:57:39,Bolso,En el centro de la ciudad,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Joshua Stevens,07/07/2022,13:22:46,Bolso,En el centro de la ciudad,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Teresa Page,04/25/2022,12:31:30,Papeles,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Edward Smith,06/25/2022,13:20:15,Computador,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Catherine Diaz,03/09/2022,06:06:35,Computador,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kaitlyn Hernandez,03/04/2022,03:24:44,Vehiculo,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Sean Cole,07/17/2022,02:50:41,Vehiculo,Cerca a la universidad nacional de Colombia,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Erin Sexton MD,07/02/2022,11:11:48,Billetera,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Debra Grant,01/01/2022,07:52:31,Vehiculo,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Megan Elliott,06/04/2022,20:26:39,Papeles,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Benjamin Cruz,07/08/2022,03:31:35,Computador,En el centro de la ciudad,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Mark Paul,02/05/2022,13:35:19,Vehiculo,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Casey Brown,01/16/2022,01:52:01,Bolso,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jaime Lyons,05/28/2022,14:35:50,Vehiculo,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Nancy Romero,03/04/2022,19:19:01,Bicicleta,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Paul Mckinney,03/26/2022,13:40:33,Celular,En el centro de la ciudad,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Morgan Montgomery,03/30/2022,01:29:39,Papeles,Cerca a la universidad nacional de Colombia,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kevin Allen,07/31/2022,08:23:49,Billetera,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Nathan Beard,07/19/2022,16:08:07,Celular,Cerca a la universidad nacional de Colombia,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Melissa Irwin,01/09/2022,18:25:00,Celular,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Lee Johnson,05/07/2022,22:27:07,Bicicleta,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
