Name,Date,Hour,StolenObject,PlaceDescription,Neighborhood,GeneralDescription,ModusOperandi
Kayla Chaney,06/24/2022,03:13:48,Bolso,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Matthew Smith,01/17/2022,15:19:18,Bicicleta,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Zachary Sanders,05/06/2022,10:03:07,Billetera,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Rebekah Castillo,05/30/2022,21:42:49,Bolso,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Paul Terry,02/12/2022,10:52:36,Celular,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Rachel Weber,04/13/2022,18:59:04,Celular,Cerca a la universidad nacional de Colombia,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Jennifer Villanueva,07/06/2022,08:14:05,Papeles,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Brian Ford,01/22/2022,16:43:37,Vehiculo,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Joseph Williams,06/14/2022,13:16:31,Bolso,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Jacqueline Alvarez,04/17/2022,07:54:44,Computador,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Lauren Howell,05/03/2022,23:32:57,Bolso,Cerca a la universidad nacional de Colombia,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Victoria Page,01/09/2022,20:20:37,Vehiculo,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Craig Anderson,02/13/2022,03:21:43,Bicicleta,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Rebecca Stanley,04/20/2022,08:35:48,Computador,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Douglas Patel,02/17/2022,17:24:36,Bolso,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Yvonne Murphy,03/30/2022,18:55:58,Bolso,Cerca a la universidad nacional de Colombia,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Mrs. Pam Moore,05/20/2022,06:37:50,Bolso,En el centro de la ciudad,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Joseph Harrison,06/25/2022,04:12:17,Computador,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Alexander Sutton,03/08/2022,20:20:19,Papeles,Cerca a la universidad nacional de Colombia,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Christina Brown,01/20/2022,16:39:47,Bicicleta,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Breanna Butler,05/14/2022,20:18:20,Vehiculo,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Jeffrey Lawson,05/26/2022,19:45:43,Celular,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Jennifer Lester,06/23/2022,02:55:30,Papeles,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Kevin Juarez,08/03/2022,03:09:33,Papeles,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Lucas Taylor,06/15/2022,13:46:08,Papeles,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Kevin Mata,02/13/2022,03:37:54,Computador,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Caitlin Malone,01/07/2022,22:28:34,Bolso,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Cameron Maldonado MD,02/18/2022,16:15:04,Billetera,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Monica Diaz,04/04/2022,10:08:34,Computador,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Ashley Juarez,03/25/2022,23:27:37,Celular,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Larry Brewer Jr.,05/14/2022,02:27:10,Vehiculo,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Elizabeth French,02/19/2022,14:01:19,Computador,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Roger Lynn,03/06/2022,10:43:36,Billetera,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Anthony Hawkins,03/30/2022,18:25:58,Bolso,Cerca a la universidad nacional de Colombia,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Guy Harris,03/04/2022,09:31:08,Celular,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Donna Foster,03/07/2022,15:05:18,Bolso,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Ashley Soto,01/25/2022,23:33:18,Vehiculo,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Kathleen Blake,05/10/2022,05:02:23,Celular,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Timothy Kelley,07/30/2022,20:14:26,Celular,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Kevin Merritt,07/15/2022,15:43:36,Bicicleta,Cerca a la universidad nacional de Colombia,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
George Hodge,06/08/2022,20:11:07,Bicicleta,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Linda Griffith,02/11/2022,08:28:27,Bicicleta,Cerca a la universidad nacional de Colombia,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Christina Morris,06/23/2022,06:37:29,Papeles,Cerca a la universidad nacional de Colombia,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Michael Wilson,01/02/2022,21:05:42,Papeles,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Kevin Oneal,03/20/2022,08:36:45,Bolso,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Maureen Garrett,02/11/2022,06:06:30,Computador,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Jeffrey Dillon,05/06/2022,02:58:38,Papeles,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Miss Nancy Williamson,02/01/2022,06:46:55,Billetera,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Jack Lewis,01/15/2022,13:53:37,Celular,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Curtis Smith,05/07/2022,14:24:01,Computador,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
James Walters,07/21/2022,08:11:35,Bolso,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Cheryl Williams,04/16/2022,12:24:36,Vehiculo,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Paul Stuart,04/08/2022,00:57:08,Bicicleta,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Timothy Rasmussen,05/09/2022,17:16:48,Vehiculo,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Matthew Herring,04/26/2022,05:56:18,Bicicleta,En el centro de la ciudad,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Elaine Martinez,06/22/2022,03:58:43,Computador,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Mindy Middleton,04/01/2022,07:17:47,Billetera,En el centro de la ciudad,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Adam Rodriguez,03/28/2022,05:41:27,Papeles,Cerca a la universidad nacional de Colombia,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Paul Gordon,06/06/2022,23:08:12,Papeles,En el centro de la ciudad,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Tina Powers,03/13/2022,17:32:39,Celular,Cerca a la universidad nacional de Colombia,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Mary Gonzales,05/10/2022,12:51:45,Papeles,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Anna Young,06/13/2022,08:14:40,Bolso,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Nicholas Mendez,08/01/2022,05:55:25,Papeles,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Stacy Shah,06/28/2022,04:16:13,Computador,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Bethany Allen,04/06/2022,00:46:53,Papeles,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Karen Benjamin,05/06/2022,18:54:35,Computador,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Justin Morse,06/23/2022,14:52:05,Papeles,Cerca a la universidad nacional de Colombia,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Rodney Scott,03/14/2022,01:18:46,Papeles,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Tracy Williams,05/01/2022,18:44:20,Bicicleta,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Angela Davis,04/30/2022,21:19:11,Bicicleta,Cerca a la universidad nacional de Colombia,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Jennifer Barrett,01/29/2022,05:11:00,Bolso,Cerca a la universidad nacional de Colombia,Antonio Narino,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Ruben Nelson,02/09/2022,13:46:19,Bicicleta,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Cody Holden,06/22/2022,03:49:24,Bolso,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
Gwendolyn Blackwell,03/04/2022,07:57:01,Celular,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Adrian Chapman,04/06/2022,11:34:25,Vehiculo,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,"Cosquilleo,"
Matthew Vaughn,04/10/2022,23:11:59,Billetera,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Jaime Wong,04/07/2022,08:36:07,Computador,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Amy Stevens,05/17/2022,04:16:19,Computador,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Timothy Fox,03/28/2022,10:57:08,Bolso,En el centro de la ciudad,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Emily Lynch,01/11/2022,01:15:06,Bicicleta,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
John Brooks,07/16/2022,05:43:19,Billetera,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Jessica Alvarado,07/18/2022,07:23:02,Billetera,En el centro de la ciudad,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Asalto A mano Armada,"
Jason Moreno,03/19/2022,22:40:55,Vehiculo,En el centro de la ciudad,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Jonathan Oneill,04/27/2022,20:14:24,Papeles,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,"Raponeo,"
Michelle Berry,03/27/2022,20:42:25,Bolso,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Cosquilleo,"
William Brown,06/29/2022,09:17:31,Billetera,Cerca a la universidad nacional de Colombia,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,"Asalto A mano Armada,"
Timothy Turner,02/17/2022,20:06:25,Vehiculo,Cerca a la universidad nacional de Colombia,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Dr. Marcus Sanders,01/08/2022,12:52:19,Vehiculo,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
Elizabeth Mendez,06/27/2022,05:31:02,Vehiculo,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,"Raponeo,"
